#StaID,obsID,year,Jan,Feb,Mar,Api,May,Jun,July,Aug,Sep,Oct,Nov,Dec,mean,station,country,NO
148,1,1985,0,0,0,0,0,0,55888,55888,55888,55888,55888,55888,0,Luanda,Angola,3
148,1,1986,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,Luanda,Angola,4
148,1,1987,55888,55888,55888,0,0,0,0,0,0,0,0,0,0,Luanda,Angola,5
99,1,1985,0,0,0,0,0,0,55888,55888,0,0,0,0,0,Dundo,Angola,26
99,1,1986,0,0,55888,0,55888,0,55888,55888,55888,55888,55888,55888,0,Dundo,Angola,27
99,1,1987,55888,55888,55888,0,0,0,0,0,0,0,0,0,0,Dundo,Angola,28
109,1,1983,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,47
109,1,1984,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,48
109,1,1985,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,49
109,1,1986,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,50
109,1,1987,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,51
109,1,1988,55288,55288,55888,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,52
109,1,1989,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,53
109,1,1990,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,54
109,1,1991,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,55
109,1,1992,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,55288,Garissa,Kenya,56
109,1,1993,55588,55588,55588,55588,55588,55588,0,0,0,0,0,0,0,Garissa,Kenya,57
109,1,1994,8,8,8,8,8,8,8,8,0,0,0,0,0,Garissa,Kenya,58
140,1,1983,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,70
140,1,1984,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,71
140,1,1985,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,72
140,1,1986,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,73
140,1,1987,55888,55888,0,55888,55888,55888,55888,55888,55888,0,55888,55828,0,Kisumu,Kenya,74
140,1,1988,52888,52888,55888,0,52888,52888,52888,52888,52888,52888,52888,52888,0,Kisumu,Kenya,75
140,1,1989,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,76
140,1,1990,52888,52888,52888,52888,52888,52888,52888,52888,0,0,52888,52828,0,Kisumu,Kenya,77
140,1,1991,52828,52828,52828,52888,52888,52888,52888,52888,52888,52888,52888,52888,52828,Kisumu,Kenya,78
140,1,1992,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,52888,Kisumu,Kenya,79
140,1,1993,52588,52588,52588,52588,52588,52588,8,8,8,8,8,8,0,Kisumu,Kenya,80
154,1,1983,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,Malindi,Kenya,93
154,1,1984,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,Malindi,Kenya,94
154,1,1985,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,Malindi,Kenya,95
154,1,1986,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,55888,Malindi,Kenya,96
